"number","fleet","headway.min","planned.buses","headway","ewt.v","simulation.fitness","ewt.a","headway.max","buses","headway.observed","hcv","line"
276,50,180,43,610.231485099641,6781.89270265526,-677.748251387158,84.2423958355305,1200,1,631.754541645174,0.515308532026555,"T31s"
277,50,180,43,610.231485099641,3532.44745965591,-352.948098930259,79.5388585069477,1200,17,631.863768853988,0.552502541397627,"T31s"
278,50,180,43,319.164842248764,2959.09912918215,-295.295150147555,59.8222710895073,1200,1,329.127741127399,0.639427675025654,"T31s"
279,50,180,43,319.164842248764,3937.42119029374,-393.274879852444,67.8904742748136,1200,17,330.100169004598,0.66048907197265,"T31s"
280,50,180,43,409.890707620146,3465.85354114761,-346.076945046862,70.7468381397506,1200,5,424.336809161071,0.62311731576958,"T31s"
281,50,180,43,409.890707620146,3181.93990939731,-317.775870457636,69.2531523867967,1200,17,424.640783934911,0.59101249564846,"T31s"
282,50,180,43,409.890707620146,2235.70671998741,-223.153001927564,63.9644704849738,1200,17,425.278877973606,0.609392050155219,"T31s"
283,50,180,43,409.890707620146,1875.90895353251,-187.168996513819,61.1154337576346,1200,17,424.448139010703,0.581487856475166,"T31s"
284,50,180,43,409.890707620146,3669.56956627385,-366.544753617841,74.7997984752607,1200,17,424.496662935371,0.632546171457368,"T31s"
285,50,180,43,409.890707620146,1978.52363320169,-197.288311494096,60.1626021301007,1200,1,422.845794146927,0.594120019267401,"T31s"
286,50,180,43,409.890707620146,2555.43634085261,-255.123065921087,63.3327940561425,1200,17,422.661995452094,0.59791013488175,"T31s"
287,50,180,43,319.164842248764,4744.58492047746,-473.990532487119,66.8836375628421,1200,17,329.613493782821,0.659504152790892,"T31s"
288,50,180,43,319.164842248764,2438.44537360944,-243.375218278934,62.901071210693,1200,17,329.051901404744,0.662487644711656,"T31s"
289,50,180,43,409.890707620146,9060.26587597651,-905.621643336983,91.2721838852621,1200,17,425.123348974343,0.646539320382408,"T31s"
290,50,180,43,409.890707620146,2625.33861072648,-262.019271650663,63.5846956355894,1200,5,423.838723232667,0.588117500482048,"T31s"
291,50,180,43,409.890707620146,2418.01346768236,-241.379364736165,63.3158950036568,1200,17,423.232865733477,0.580469725606044,"T31s"
292,50,180,43,319.164842248764,3936.13754061606,-393.049383921623,64.0103292077207,1200,5,329.947481177064,0.641192965793391,"T31s"
293,50,180,43,610.231485099641,6009.48611219192,-600.650298624074,86.3689971223345,1200,17,626.574529798977,0.544192985739235,"T31s"
294,50,180,43,409.890707620146,1672.31925165091,-166.808807826323,58.0996759165573,1200,17,423.982690340486,0.582093322619534,"T31s"
295,50,180,43,409.890707620146,2846.37370969759,-284.219097022131,65.3130730592942,1200,17,424.773139171748,0.601832877857388,"T31s"
296,50,180,43,409.890707620146,3540.90311313991,-353.674492859161,71.5935743580192,1200,17,423.072447013589,0.615456873027179,"T31s"
297,50,180,43,409.890707620146,3885.11867180418,-387.956590116212,73.2125138929703,1200,1,423.658718485494,0.63358602419637,"T31s"
298,50,180,43,409.890707620146,2520.40907849365,-251.623673517099,66.8186053060843,1200,17,424.102154730889,0.611157557960912,"T31s"
299,50,180,43,409.890707620146,2144.77140852672,-214.054710950046,61.6116273620805,1200,17,422.51701222555,0.585882815184701,"T31s"
300,50,180,43,409.890707620146,5779.77933440103,-577.567064359013,80.6742374320645,1200,17,425.420451803394,0.620869940639865,"T31s"
301,50,180,43,610.231485099641,5811.08990625683,-580.810995097371,81.5875539045538,1200,17,633.826024140926,0.520645948783663,"T31s"
302,50,180,43,409.890707620146,3700.33152510201,-369.615877564851,67.8848022448565,1200,17,423.140485829974,0.612854313211962,"T31s"
303,50,180,43,409.890707620146,2754.68751391399,-275.051295741937,65.8805018245645,1200,17,424.019545990358,0.61255733137841,"T31s"
304,50,180,43,409.890707620146,2056.90459916898,-205.268494622125,59.6262747349626,1200,17,422.161558771097,0.599237638482375,"T31s"
305,50,180,43,319.164842248764,2134.43900182877,-212.973211005522,59.041417101502,1200,17,330.38331202634,0.653820377785723,"T31s"
306,50,180,43,319.164842248764,2264.50160961822,-225.979438555025,59.7946060047018,1200,17,330.549527059924,0.649999718196269,"T31s"
307,50,180,43,319.164842248764,3582.79816187704,-357.816471538237,68.1186136367467,1200,17,334.174889020498,0.674704940792331,"T31s"
308,50,180,43,409.890707620146,4009.99662858192,-400.583588611964,69.1092169391683,1200,17,425.018694672592,0.609731634811301,"T31s"
309,50,180,43,409.890707620146,2797.32851786222,-279.316633091463,68.9436452062994,1200,17,421.609881764094,0.628890895908247,"T31s"
310,50,180,43,319.164842248764,2728.95693340147,-272.423892283344,60.767562091456,1200,17,329.362703908393,0.642951343821875,"T31s"
311,50,180,43,409.890707620146,3586.58419473464,-358.102572547125,72.6284915114456,1200,1,424.826442340566,0.622965180282454,"T31s"
312,50,180,43,409.890707620146,2280.91638824857,-227.624209648171,61.5438859894631,1200,10,423.673750845529,0.591182816104123,"T31s"
313,50,180,43,409.890707620146,4134.35627872067,-413.023145339053,77.0430797999713,1200,17,422.704842869399,0.632813450368381,"T31s"
314,50,180,43,409.890707620146,3021.58145906242,-301.740637817409,67.903518980526,1200,17,421.630039636771,0.619345466870463,"T31s"
315,50,180,43,319.164842248764,2125.09457220851,-211.941943099213,57.9663593299326,1200,5,330.069761493437,0.629180419519011,"T31s"
316,50,180,43,409.890707620146,2925.71926715876,-292.010940655509,66.5271757868163,1200,1,423.098690136626,0.602074807349664,"T31s"
317,50,180,43,409.890707620146,3878.26870052933,-387.273801851357,76.8366954148168,1200,1,425.616445434788,0.632078004535103,"T31s"
318,50,180,43,610.231485099641,2181.95833272159,-217.891949740717,71.8375967026846,1200,17,631.508888380349,0.507895985167901,"T31s"
319,50,180,43,319.164842248764,2030.66403903321,-202.594042623551,58.5564812225949,1200,17,329.197626474646,0.64569042745031,"T31s"
320,50,180,43,409.890707620146,6307.67844272874,-630.312462948039,82.3909316402415,1200,10,424.205962512876,0.639040525588334,"T31s"
321,50,180,43,409.890707620146,3897.05926883871,-389.242747750347,72.951772778679,1200,10,423.464322590128,0.596888889341872,"T31s"
322,50,180,43,319.164842248764,2904.97292085579,-290.02629252622,63.1806518614835,1200,17,329.913440300634,0.639683059859465,"T31s"
323,50,180,43,319.164842248764,2593.62647195686,-258.798658739919,59.3357765313289,1200,5,330.609666414766,0.656696442920489,"T31s"
324,50,180,43,409.890707620146,3569.34686413779,-356.519525445214,73.0260271308858,1200,17,422.578560162414,0.620162109881771,"T31s"
325,50,180,43,409.890707620146,4003.05179184825,-399.887242553545,68.017656071663,1200,17,424.16117784673,0.599790537141201,"T31s"
326,50,180,43,409.890707620146,2385.59457798022,-237.994317082323,62.6615153171951,1200,1,423.125887665904,0.573253803455926,"T31s"
327,50,180,43,319.164842248764,7567.3141679869,-756.270649540748,75.8539839851832,1200,17,331.745012434261,0.6889876798998,"T31s"
328,50,180,43,409.890707620146,3511.84427939154,-350.768762418339,71.6745834399555,1200,17,422.228076312315,0.621683069382692,"T31s"
329,50,180,43,319.164842248764,2521.07256909083,-251.542772144823,61.7021840346078,1200,5,329.72290047228,0.649061603232568,"T31s"
330,50,180,43,573.95251840939,2812.14417166675,-280.891931509749,75.2196911596233,1200,17,595.130656860041,0.524590679324876,"T31s"
