fleet,headway.min,replica,line,planned.buses,headway,ewt.v,simulation.fitness,number,ewt.a,headway.max,buses,headway.observed,hcv
50.0,180.0,10,T31s,43.0,991.0389313303019,1035.8245382425239,-103.53972751829473,17,75.5487861479577,1200.0,28.0,1034.1676516088846,0.38129024062968986
50.0,180.0,1,T31s,43.0,364.05532201340236,5484.592003860538,-547.9971354185542,18,99.87046277431696,1200.0,11.0,376.4246705546047,0.7152891670440348
50.0,180.0,2,T31s,43.0,364.05532201340236,6096.654430996408,-609.1895078935294,18,82.85603037076996,1200.0,11.0,374.71269232021035,0.6433720158070053
50.0,180.0,3,T31s,43.0,364.05532201340236,1832.3579901062249,-182.75137227669805,18,65.70732247318901,1200.0,11.0,374.5966952524738,0.616301433027863
50.0,180.0,4,T31s,43.0,364.05532201340236,10179.703129241247,-1017.5034887973328,18,101.97414545523199,1200.0,11.0,380.40608010814725,0.6372652423196838
50.0,180.0,5,T31s,43.0,364.05532201340236,3217.9523515666006,-321.3163211238379,18,69.07669946196954,1200.0,11.0,375.4703582197013,0.6550579934967219
50.0,180.0,6,T31s,43.0,364.05532201340236,13150.173311653252,-1314.573106478302,18,126.16228392771649,1200.0,11.0,375.45027008609907,0.811784335425376
50.0,180.0,7,T31s,43.0,364.05532201340236,1884.824694345582,-187.99365427111061,18,60.0768583243393,1200.0,11.0,374.52732445170733,0.5915934151598519
50.0,180.0,8,T31s,43.0,364.05532201340236,3342.5905786918674,-333.78945707218486,18,75.8806172137906,1200.0,11.0,376.2372284215552,0.7209996246717019
50.0,180.0,9,T31s,43.0,364.05532201340236,8385.507301498885,-838.0877898237644,18,103.23895796692653,1200.0,11.0,379.0532083898988,0.6798452762230425
50.0,180.0,10,T31s,43.0,364.05532201340236,10102.845318901986,-1009.8348621877203,18,119.79425892268978,1200.0,11.0,379.95180910058536,0.7520812896290446
50.0,180.0,1,T31s,43.0,1184.3322060116802,4217.82972136406,-421.72215020639,19,105.82865441134537,1200.0,5.0,1211.5106202719853,0.4193246550353367
50.0,180.0,2,T31s,43.0,1184.3322060116802,320.5172466637675,-31.964861980782654,19,73.3105832941778,1200.0,5.0,1253.5544225197323,0.26731066964505135
50.0,180.0,3,T31s,43.0,1184.3322060116802,11475.121329654696,-1147.478882204966,19,152.81414168398484,1200.0,5.0,1214.9252867651433,0.5384180592531043
50.0,180.0,4,T31s,43.0,1184.3322060116802,2322.8262730011284,-232.2110392616507,19,86.32902434791886,1200.0,5.0,1209.887379327368,0.37666233745220046
50.0,180.0,5,T31s,43.0,1184.3322060116802,4788.924982786213,-478.85050648344804,19,136.00751701494457,1200.0,5.0,1226.010519697195,0.5070297947833328
50.0,180.0,6,T31s,43.0,1184.3322060116802,14790.393604986199,-1479.0093138704979,19,172.43704441024428,1200.0,5.0,1217.8882716528599,0.5050497073108902
50.0,180.0,7,T31s,43.0,1184.3322060116802,5274.740282789071,-527.4135795355162,19,110.69257367108645,1200.0,5.0,1275.4538659917669,0.40684345708758085
50.0,180.0,8,T31s,43.0,1184.3322060116802,9744.859557180254,-974.4530404572147,19,144.6001435535778,1200.0,5.0,1206.6277172920218,0.5691530499466725
50.0,180.0,9,T31s,43.0,1184.3322060116802,804.6155715143555,-80.37981735834508,19,78.65687845355717,1200.0,5.0,1219.7128405109704,0.30071861081674744
50.0,180.0,10,T31s,43.0,1184.3322060116802,2797.0349282824254,-279.6323513122428,19,89.29811419676223,1200.0,5.0,1237.8947343691627,0.3712305959134432
50.0,180.0,1,T31s,43.0,494.732733569291,4890.030930163313,-488.894937615793,20,98.48270828126856,1200.0,50.0,504.2440166924385,0.682852555095622
50.0,180.0,2,T31s,43.0,494.732733569291,1183.643294697033,-118.23661723958351,20,60.88451643351726,1200.0,50.0,519.3686407949529,0.523643188367109
50.0,180.0,3,T31s,43.0,494.732733569291,6197.296858890048,-619.6277507602883,20,97.16140073122372,1200.0,50.0,514.774744426041,0.6875141745586775
50.0,180.0,4,T31s,43.0,494.732733569291,8688.241750416184,-868.7282997259665,20,93.03825901772633,1200.0,50.0,526.0698800544832,0.6954141366309619
50.0,180.0,5,T31s,43.0,494.732733569291,4588.087952451764,-458.69339693334905,20,79.78242361874166,1200.0,50.0,518.8055138194425,0.5871018589608937
50.0,180.0,6,T31s,43.0,494.732733569291,2329.5043271684845,-232.83255487956905,20,68.33058547251422,1200.0,50.0,516.5541354875822,0.6137228002134871
50.0,180.0,7,T31s,43.0,494.732733569291,2122.3618830098767,-212.12751252217242,20,71.7360268197897,1200.0,50.0,525.7145651349772,0.6405070334189698
50.0,180.0,8,T31s,43.0,494.732733569291,1498.0739281910055,-149.68587433031792,20,66.50249506786555,1200.0,50.0,513.2053088076918,0.6031089003335007
50.0,180.0,9,T31s,43.0,494.732733569291,2358.7497598544014,-235.7561355434071,20,72.96741223294102,1200.0,50.0,508.49104704925196,0.6360705954659718
50.0,180.0,10,T31s,43.0,494.732733569291,3049.60004881615,-304.8449441774974,20,78.14795314742172,1200.0,50.0,508.9499396217811,0.6539001368313976
50.0,180.0,1,T31s,43.0,494.732733569291,2513.197922869582,-250.92832675638763,21,73.23786688980775,1200.0,14.0,502.63635457923124,0.5568632910939985
50.0,180.0,2,T31s,43.0,494.732733569291,2336.319682681239,-233.25215282914002,21,67.60548595991526,1200.0,14.0,523.1479896381637,0.5714821332430625
50.0,180.0,3,T31s,43.0,494.732733569291,22809.875895815057,-2280.648235376439,21,168.06665131320187,1200.0,14.0,509.99457233606347,0.7185969641879231
50.0,180.0,4,T31s,43.0,494.732733569291,4007.0411646825405,-400.32630664936926,21,80.51643054080681,1200.0,14.0,515.1991220105328,0.5952598971663112
50.0,180.0,5,T31s,43.0,494.732733569291,788.1655725873819,-78.41735040674943,21,49.83802935980928,1200.0,14.0,507.80818474740516,0.5270270049443835
50.0,180.0,6,T31s,43.0,494.732733569291,10062.283139243431,-1005.8781388834431,21,130.46415221646993,1200.0,14.0,511.9773429044106,0.7240669132280894
50.0,180.0,7,T31s,43.0,494.732733569291,6021.310884191753,-601.7732715952518,21,111.58706096592039,1200.0,14.0,505.6988720328068,0.7475049020934404
50.0,180.0,8,T31s,43.0,494.732733569291,6421.946693328935,-641.8269210051088,21,103.36015074578938,1200.0,14.0,508.0463327149357,0.6618043053006571
50.0,180.0,9,T31s,43.0,494.732733569291,1797.9720811641603,-179.4129295752552,21,63.346679326976684,1200.0,14.0,514.9505770240801,0.5892672077838479
50.0,180.0,10,T31s,43.0,494.732733569291,3512.6842724336425,-350.8858443863978,21,84.59324123567065,1200.0,14.0,502.7177771499499,0.6073598230168915
50.0,180.0,1,T31s,43.0,843.2733070134675,13786.05035008193,-1378.3926339332838,22,117.70621085978868,1200.0,8.0,874.9266493603901,0.47435278299477496
50.0,180.0,2,T31s,43.0,843.2733070134675,1457.2550261373012,-145.49288133999025,22,80.3598951133058,1200.0,8.0,870.876723154932,0.4204616091698573
50.0,180.0,3,T31s,43.0,843.2733070134675,3386.058419166543,-338.38346026090426,22,92.29839457104735,1200.0,8.0,867.8978930813986,0.5005853207200565
50.0,180.0,4,T31s,43.0,843.2733070134675,1361.4129731131957,-135.92153388486736,22,78.55920777991031,1200.0,8.0,884.6866177329634,0.4738076991697427
50.0,180.0,5,T31s,43.0,843.2733070134675,704.2298850522625,-70.17441736958534,22,65.79549494826973,1200.0,8.0,858.3072173227504,0.3834492603108092
